,text,vid,bid,uid,ppl,idf,idf_avg,cross_score,odyssey_ppl
0,μῆνιν ἄειδε θεὰ πηληϊάδεω ἀχιλῆος,1,1,1.1,3900.9119409040804,6.383730244396167,7.954383167321685,4881.341138211921,4927.044076861143
1,οὐλομένην ἣ μυρί᾽ ἀχαιοῖς ἄλγε᾽ ἔθηκε,2,1,1.2,14924.364238919807,7.226409158927076,8.557593622530675,67450.61837884942,68650.0119874541
2,πολλὰς δ᾽ ἰφθίμους ψυχὰς ἄϊδι προΐαψεν,3,1,1.3,29965.66923238344,8.357811270418177,9.148380270407857,533924.41572537,535314.9451280346
3,ἡρώων αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν,4,1,1.4,60969.95078740053,3.076131545023163,8.029363168481675,321566.17479399865,324970.6367051682
4,οἰωνοῖσί τε πᾶσι διὸς δ᾽ ἐτελείετο βουλή,5,1,1.5,23637.217842182137,3.539143910167681,7.4976337929363295,-448.08930997868083,3163.9368189393126
5,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,6,1,1.6,34777.839371974755,4.728151175964212,7.1900855881749335,281913.0650862378,286252.120943053
6,ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος ἀχιλλεύς,7,1,1.7,352.95317573422096,2.8541070741451895,5.268452232367743,1672.5910806565248,1997.1597077095685
7,τίς τ᾽ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι,8,1,1.8,8141.94289587174,4.8024632089287635,7.104154657333831,158431.71277966912,159282.18967090652
8,λητοῦς καὶ διὸς υἱός ὃ γὰρ βασιλῆϊ χολωθεὶς,9,1,1.9,6381.317208829922,2.8541070741451895,6.726752638346263,169686.31797743952,170393.76457542702
9,νοῦσον ἀνὰ στρατὸν ὄρσε κακήν ὀλέκοντο δὲ λαοί,10,1,1.1,5673.119826617658,3.076131545023163,8.008366728458288,216243.2671896005,217856.13387681538
10,οὕνεκα τὸν χρύσην ἠτίμασεν ἀρητῆρα,11,1,1.11,1952901.3434545598,4.410421121152739,8.246979082967686,5764948.1085698195,5769402.817807485
11,ἀτρεΐδης ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας ἀχαιῶν,12,1,1.12,1623.1626040285994,4.3504780851857054,5.752251092982599,3030.6386066044533,3369.2286276571012
12,λυσόμενός τε θύγατρα φέρων τ᾽ ἀπερείσι᾽ ἄποινα,13,1,1.13,1295.2036959908005,3.539143910167681,7.552896503937831,88527.02448001083,88992.87078891299
13,στέμματ᾽ ἔχων ἐν χερσὶν ἑκηβόλου ἀπόλλωνος,14,1,1.14,4143.002511117159,3.9998212135725364,7.394624514951346,36024.489373929675,36436.85322629618
14,χρυσέῳ ἀνὰ σκήπτρῳ καὶ λίσσετο πάντας ἀχαιούς,15,1,1.15,5877.271749196903,2.8541070741451895,7.008027621824243,86185.7076084012,86622.98057903029
15,ἀτρεΐδα δὲ μάλιστα δύω κοσμήτορε λαῶν,16,1,1.16,4568.581707771056,3.076131545023163,6.868458471759387,3407.497165033672,4468.879420074192
16,ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες ἀχαιοί,17,1,1.17,706.2213686853669,2.8541070741451895,5.982614457076228,3136.3208663105106,3550.589707043337
17,ὑμῖν μὲν θεοὶ δοῖεν ὀλύμπια δώματ᾽ ἔχοντες,18,1,1.18,1974.679573851698,3.823063548726631,7.174389305673734,2297.163410057847,3192.996927922552
18,ἐκπέρσαι πριάμοιο πόλιν εὖ δ᾽ οἴκαδ᾽ ἱκέσθαι,19,1,1.19,1319.630343448637,6.217745106921906,7.4516201537072,10027.089921846447,10913.946855273483
19,παῖδα δ᾽ ἐμοὶ λύσαιτε φίλην τὰ δ᾽ ἄποινα δέχεσθαι,20,1,1.2,14211.330077778364,5.978265136288003,7.757105339024465,130039.61493647181,133626.01708766248
20,ἁζόμενοι διὸς υἱὸν ἑκηβόλον ἀπόλλωνα,21,1,1.21,3367.287361537485,5.56664616260546,7.9637743592696,50161.338314923734,51331.73565629735
21,ἔνθ᾽ ἄλλοι μὲν πάντες ἐπευφήμησαν ἀχαιοὶ,22,1,1.22,17677.98919629814,3.823063548726631,6.252635296734135,19679.978545683913,20251.35264367322
22,αἰδεῖσθαί θ᾽ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα,23,1,1.23,10995.7897158267,2.8541070741451895,7.731060221474949,717722.8203546663,718149.0716528392
23,ἀλλ᾽ οὐκ ἀτρεΐδῃ ἀγαμέμνονι ἥνδανε θυμῷ,24,1,1.24,746.3308247812671,4.455838600843531,6.721071165965699,1271.152131187688,1520.7969780986457
24,ἀλλὰ κακῶς ἀφίει κρατερὸν δ᾽ ἐπὶ μῦθον ἔτελλε,25,1,1.25,2978.359450109858,4.569086481334525,7.15236171944701,2366.4019850189134,3193.656776847062
25,μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,26,1,1.26,1293.0860375093894,5.392538204348894,6.9103454535914945,11846.02394864887,12248.134109271849
26,ἢ νῦν δηθύνοντ᾽ ἢ ὕστερον αὖτις ἰόντα,27,1,1.27,30189.25489941652,4.828513886128706,7.452237606662706,117677.69125744079,119594.39000539618
27,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο,28,1,1.28,73044.17118804397,2.8541070741451895,6.734862912918395,379164.3658755711,379515.2609614759
28,τὴν δ᾽ ἐγὼ οὐ λύσω πρίν μιν καὶ γῆρας ἔπεισιν,29,1,1.29,23924.11591655856,2.8541070741451895,6.430648709818243,45816.02862342844,48266.63614329515
29,ἡμετέρῳ ἐνὶ οἴκῳ ἐν ἄργεϊ τηλόθι πάτρης,30,1,1.3,14328.808558079245,3.9998212135725364,7.6489478855308,8602.98904041721,10585.669691726538
30,ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν,31,1,1.31,1626.0471798809785,2.8541070741451895,7.771094629953161,265.6891315120786,1503.2693949370519
31,ἀλλ᾽ ἴθι μή μ᾽ ἐρέθιζε σαώτερος ὥς κε νέηαι,32,1,1.32,187216.83040668743,4.455838600843531,7.33395786952873,484320.1227313759,486891.3794723634
32,ὣς ἔφατ᾽ ἔδεισεν δ᾽ ὃ γέρων καὶ ἐπείθετο μύθῳ,33,1,1.33,961.6004013212505,2.8541070741451895,6.420558855258164,6856.192421626143,7727.257448688292
33,βῆ δ᾽ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης,34,1,1.34,564.6962255424452,5.704569305810962,7.658490520335751,77.15781692994335,525.7774214826514
34,πολλὰ δ᾽ ἔπειτ᾽ ἀπάνευθε κιὼν ἠρᾶθ᾽ ὃ γεραιὸς,35,1,1.35,1303.0182277050678,5.950866162099888,7.719148054125824,176134.97967330058,176668.076197825
35,ἀπόλλωνι ἄνακτι τὸν ἠΰκομος τέκε λητώ,36,1,1.36,5544.091716560092,4.410421121152739,7.7576532068170545,68245.08688707554,70392.61561745145
36,κλῦθί μευ ἀργυρότοξ᾽ ὃς χρύσην ἀμφιβέβηκας,37,1,1.37,62358.12698035864,5.597801330385256,8.31485232843321,293101.9367660932,293426.4705860209
37,κίλλάν τε ζαθέην τενέδοιό τε ἶφι ἀνάσσεις,38,1,1.38,52646.96976974193,3.539143910167681,7.44897004982612,3573405.384510637,3573986.720274807
38,σμινθεῦ εἴ ποτέ τοι χαρίεντ᾽ ἐπὶ νηὸν ἔρεψα,39,1,1.39,109275.04001516421,4.569086481334525,7.659816393624609,134105.87618888594,134915.83240802653
39,ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί᾽ ἔκηα,40,1,1.4,4530.262695585767,4.898344980632046,6.946281061842941,4859.1205731497885,7180.051890016333
40,ταύρων ἠδ᾽ αἰγῶν τὸ δέ μοι κρήηνον ἐέλδωρ,41,1,1.41,8685.621083687442,4.115046703077803,7.112997492798347,52387.1218169535,54903.19290931095
41,τίσειαν δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν,42,1,1.42,37759.11887631432,7.664664089858231,8.91559613648119,21896.37276736487,24386.23382043085
42,ὣς ἔφατ᾽ εὐχόμενος τοῦ δ᾽ ἔκλυε φοῖβος ἀπόλλων,43,1,1.43,258.0104544948298,4.133901503841432,6.390372439807961,848.3217638503772,1045.803686088844
43,βῆ δὲ κατ᾽ οὐλύμποιο καρήνων χωόμενος κῆρ,44,1,1.44,1304.7163588370292,3.076131545023163,6.65696620974395,4391.4763306040195,5223.616369917004
44,τόξ᾽ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην,45,1,1.45,35334.137200216035,3.539143910167681,7.7735159123014475,72038.6759224464,73698.95613693555
45,ἔκλαγξαν δ᾽ ἄρ᾽ ὀϊστοὶ ἐπ᾽ ὤμων χωομένοιο,46,1,1.46,59441.25251047939,4.8024632089287635,7.606849661738225,295520.4379613927,297395.95511592523
46,αὐτοῦ κινηθέντος ὃ δ᾽ ἤϊε νυκτὶ ἐοικώς,47,1,1.47,70842.37987460823,6.3296630231258915,8.258676995219314,275662.9763263061,276818.11757537734
