,text,vid,bid,uid,ppl,idf,idf_avg,cross_score,iliad_ppl
0,ἄνδρα μοι ἔννεπε μοῦσα πολύτροπον ὃς μάλα πολλὰ,1,1,1.1,84939.05325748527,4.347182323872239,7.101521348219122,13182.070617437566,13487.649216178716
1,πλάγχθη ἐπεὶ τροίης ἱερὸν πτολίεθρον ἔπερσεν,2,1,1.2,43732.72223209078,4.649049031315976,8.047691116797644,2433.6735996124653,4482.511761215414
2,πολλῶν δ᾽ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,3,1,1.3,8874.79014229187,2.7433941439802574,7.079643679265438,4218.027442351537,6626.647480953304
3,πολλὰ δ᾽ ὅ γ᾽ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,4,1,1.4,1302.901729552932,3.9832567342053977,6.363259454566174,7530.757201937175,8434.938647660203
4,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων,5,1,1.5,2546.142931860736,2.7433941439802574,6.658609891489253,1307.1902609235121,2212.977967807134
5,ἀλλ᾽ οὐδ᾽ ὣς ἑτάρους ἐρρύσατο ἱέμενός περ,6,1,1.6,67110.16658830881,4.121225831181414,6.429282640368791,2370.003706711037,4851.322048429332
6,αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο,7,1,1.7,13129.927307197426,4.370936409880346,7.610019746027399,1456.563913518015,3077.133280883639
7,νήπιοι οἳ κατὰ βοῦς ὑπερίονος ἠελίοιο,8,1,1.8,6747.272376422239,4.892233333513632,7.188528050244294,8025.884456473566,9559.169982285637
8,ἤσθιον αὐτὰρ ὁ τοῖσιν ἀφείλετο νόστιμον ἦμαρ,9,1,1.9,612.8972705728941,4.400206792180459,7.288311113994589,24655.814561971973,25104.2992218534
9,τῶν ἁμόθεν γε  θεά θύγατερ διός εἰπὲ καὶ ἡμῖν,10,1,1.1,23854.92018201587,2.7433941439802574,6.692292547755207,215016.0705394371,215965.05415141536
10,ἔνθ᾽ ἄλλοι μὲν πάντες ὅσοι φύγον αἰπὺν ὄλεθρον,11,1,1.11,774.9312880437506,3.8491137831070192,6.663290964597575,402.17442817414656,963.0698517805441
11,οἴκοι ἔσαν πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν,12,1,1.12,44421.3355800416,3.6025658080828133,7.271080898412289,13976.293344182764,15259.736857252863
12,τὸν δ᾽ οἶον νόστου κεχρημένον ἠδὲ γυναικὸς,13,1,1.13,4022.0197490295845,4.450979117553882,7.401541278127223,4414.329613044434,5338.610528622147
13,νύμφη πότνι᾽ ἔρυκε καλυψὼ δῖα θεάων,14,1,1.14,18039.04283098643,6.572980273652514,8.153703942469294,287691.9939330601,289077.60846890236
14,ἐν σπέσσι γλαφυροῖσι  λιλαιομένη πόσιν εἶναι,15,1,1.15,585.8582505906485,3.9832567342053977,7.096463809234229,50970.96958815273,51364.267651337075
15,ἀλλ᾽ ὅτε δὴ ἔτος ἦλθε περιπλομένων ἐνιαυτῶν,16,1,1.16,5235.202664382922,4.3103117880639115,6.887335003259523,2355.6630496390344,3310.0446350703933
16,τῷ οἱ ἐπεκλώσαντο θεοὶ οἶκόνδε νέεσθαι,17,1,1.17,6056.396160487137,3.9527322759947516,6.473894501042377,88502.5269639852,90334.01986214929
